EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,LostBallSteals,PenaltyArc3Frequency,Fg2aBlocked,PenaltyTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedAtRim,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,AtRimPctBlocked,PenaltyArc3Accuracy,PenaltyCorner3FGA,Defensive 3 Seconds Violations,PenaltyCorner3Frequency,DefensiveGoaltends,2pt And 1 Free Throw Trips,Charge Fouls Drawn,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1628374-1629004-1631117-1641707-1641718,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Walker Kessler, Taylor Hendricks, Keyonte George","Markkanen, Mykhailiuk, Kessler, Hendricks, George",1628374-1629004-1631117-1641707-1641718,UTA,423.9,2,7.0,-5.0,12.0,15.0,4.0,5.0,2.0,27.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,8.0,2.0,3.0,4.0,16.0,21.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,4.0,6.0,4.0,2.0,6.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,2.0,2.0,1.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,11.0,6.0,4.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.375,0.5,0.5,0.5454545454545454,0.8333333333333334,0.5,0.6153846153846154,0.8333333333333334,0.75,0.2727272727272727,0.5,0.3333333333333333,0.4,0.6666666666666666,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,91.71974522292994,16.416666666666668,15.126666666666667,15.166666666666666,13.860000000000001,0.18181818181818182,0.5,0.5,1.0,0.45454545454545453,0.4,0.4,0.5,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1.0,0.45454545454545453,0.5,0.5185318181818181,0.588425,0.47555,0.08333333333333333,0.1111111111111111,0.3125,0.375,6.5,24.933333333333334,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1631117-1641707-1642383,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Walker Kessler, Taylor Hendricks, Walter Clayton Jr.","Markkanen, Mykhailiuk, Kessler, Hendricks, Clayton Jr.",1628374-1629004-1631117-1641707-1642383,UTA,54.1,1,1.0,,2.0,2.0,2.0,2.0,1.0,4.0,,,,,,1.0,,,,,3.0,,1.0,,1.0,,3.0,,,,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.75,,1.0,,,0.5,1.0,0.3333333333333333,,,0.5,1.0,,,106.46950092421442,19.75,7.3,16.6,7.3,,,,,0.25,,,,,,,,,0.75,,,,,,,1.0,,,0.75,,0.4909833333333333,,0.4909833333333333,,,,,9.7,26.3,1.0,3.0,3.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1631117-1641718-1641729,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Walker Kessler, Keyonte George, Brice Sensabaugh","Markkanen, Mykhailiuk, Kessler, George, Sensabaugh",1628374-1629004-1631117-1641718-1641729,UTA,171.0,1,3.0,-11.0,6.0,7.0,6.0,7.0,,13.0,,,,,1.0,4.0,,,,,1.0,,,1.0,4.0,,1.0,,2.0,13.0,,,,,,1.0,4.0,,2.0,2.0,,,1.0,,1.0,,1.0,,,,1.0,2.0,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,6.0,,1.0,1.0,,,,,0.25,,0.25,0.2,,0.2,0.2,,0.2,0.2,,,,1.0,,1.0,,,,,,1.0,,109.47368421052632,15.200000000000001,11.4,15.200000000000001,11.4,,,,,0.8,0.25,0.5,1.0,,,,,,0.2,,,,,,,,,,0.2,,0.45391000000000004,,0.45391000000000004,,,,1.0,7.875,26.2,1.0,1.0,1.0,,0.2,2.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1631117-1641718-1642271,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Walker Kessler, Keyonte George, Kyle Filipowski","Markkanen, Mykhailiuk, Kessler, George, Filipowski",1628374-1629004-1631117-1641718-1642271,UTA,3056.3,5,51.0,-34.0,100.0,103.0,5.0,13.0,16.0,203.0,15.0,17.0,5.0,7.0,13.0,20.0,12.0,4.0,16.0,7.0,30.0,,1.0,33.0,49.0,11.0,46.0,8.0,107.0,141.0,9.0,13.0,1.0,3.0,23.0,3.0,4.0,,6.0,30.0,36.0,30.0,30.0,7.0,15.0,10.0,25.0,6.0,4.0,9.0,4.0,60.0,13.0,6.0,15.0,5.0,23.0,20.0,43.0,2.0,10.0,8.0,10.0,5.0,8.0,10.0,20.0,11.0,21.0,23.0,6.0,11.0,5.0,,4.0,2.0,5.0,84.0,6.0,5.0,,0.45454545454545453,0.5555555555555556,0.9090909090909091,0.2391304347826087,0.3333333333333333,0.2391304347826087,0.673469387755102,0.6923076923076923,0.75,0.5210526315789473,0.65625,0.5,0.53,0.6764705882352942,0.5,0.4842105263157895,0.5,0.35714285714285715,0.375,0.5,0.38235294117647056,0.45454545454545453,0.38,0.5,0.14285714285714285,0.3181818181818182,0.25,0.4230769230769231,0.04081632653061224,95.64506102149657,14.908,15.199029126213592,14.208,14.228155339805825,0.17894736842105263,0.8823529411764706,0.8823529411764706,0.6,0.21052631578947367,0.65,0.6842105263157895,0.3076923076923077,0.12631578947368421,0.16842105263157894,0.25,0.25,1.0,0.3157894736842105,0.23333333333333334,0.23333333333333334,0.8571428571428571,0.4375,0.7142857142857143,0.4,0.0625,,,0.6631578947368421,0.23333333333333334,0.5273721052631579,0.5372642857142857,0.39760833333333334,0.05,0.09259259259259259,0.21495327102803738,0.056074766355140186,8.065306122448979,24.969565217391303,0.05,2.0,2.0,2.0,0.3333333333333333,1.0,,0.02040816326530612,0.05,2.0,2.0,5.0,1.0,2.0,2.0,3.0,12.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.5714285714285714,0.5,0.5,0.5,1.0,0.6,0.4166666666666667,0.4166666666666667,0.4,0.125,0.5,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1631117-1641718-1642383,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Walker Kessler, Keyonte George, Walter Clayton Jr.","Markkanen, Mykhailiuk, Kessler, George, Clayton Jr.",1628374-1629004-1631117-1641718-1642383,UTA,437.8,1,7.0,10.0,18.0,18.0,4.0,10.0,4.0,36.0,2.0,5.0,1.0,3.0,3.0,4.0,,,1.0,5.0,8.0,,,5.0,9.0,5.0,9.0,6.0,31.0,21.0,2.0,4.0,,,5.0,1.0,2.0,1.0,9.0,4.0,6.0,15.0,8.0,5.0,2.0,5.0,7.0,5.0,,,2.0,19.0,2.0,3.0,1.0,2.0,3.0,6.0,9.0,,4.0,,1.0,,1.0,,1.0,3.0,7.0,5.0,,10.0,4.0,1.0,,,,26.0,9.0,4.0,1.0,0.4,0.6666666666666666,1.0,0.5555555555555556,,0.5555555555555556,0.5555555555555556,0.5,0.5,0.6944444444444444,0.5,0.8,0.6739130434782609,0.5,0.75,0.5,1.0,0.5,0.75,0.3333333333333333,0.5,0.42857142857142855,0.625,0.6666666666666666,1.0,0.6666666666666666,0.5,0.3333333333333333,,118.4102329830973,10.944444444444445,13.377777777777778,10.588888888888889,13.100000000000001,0.2777777777777778,0.4,0.6666666666666666,,0.2222222222222222,0.75,0.75,0.6666666666666666,,0.05555555555555555,,,,0.4444444444444444,0.625,0.625,1.0,0.75,0.3333333333333333,,,,,0.7777777777777778,0.625,0.4752861111111111,0.4918,0.45528,0.18181818181818182,0.3076923076923077,0.16129032258064516,0.2903225806451613,4.622222222222223,26.733333333333334,0.2222222222222222,3.0,3.0,4.0,0.6,2.0,1.0,0.2222222222222222,,1.0,2.0,,,,1.0,,4.0,,1.0,,,,,1.0,,,,,,,,,,3.0,,1.0,,,0.5,,,,,,,,,,0.4,0.5,2.0,2.0,0.6666666666666666,0.4,0.6666666666666666,,,,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1631117-1641718-1642846,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Walker Kessler, Keyonte George, Ace Bailey","Markkanen, Mykhailiuk, Kessler, George, Bailey",1628374-1629004-1631117-1641718-1642846,UTA,396.0,2,7.0,6.0,14.0,14.0,4.0,6.0,,28.0,2.0,2.0,,,1.0,3.0,,5.0,5.0,,1.0,,,3.0,5.0,5.0,6.0,4.0,25.0,19.0,,,,,,2.0,3.0,2.0,6.0,4.0,2.0,15.0,1.0,,2.0,5.0,7.0,,5.0,2.0,,19.0,,,4.0,1.0,5.0,,5.0,,1.0,1.0,,,,1.0,1.0,1.0,3.0,3.0,,4.0,1.0,1.0,,,,25.0,6.0,4.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,,0.8333333333333334,0.6,,0.6666666666666666,0.9545454545454546,,0.6666666666666666,0.9615384615384616,,0.75,0.5454545454545454,,0.25,,0.8,,0.5555555555555556,,,,,,0.6666666666666666,,101.81818181818183,12.642857142857142,15.642857142857142,12.642857142857142,14.285714285714286,0.18181818181818182,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.5,,,0.45454545454545453,1.0,1.0,1.0,0.09090909090909091,,,,,,,,,,0.7272727272727273,,0.54725,,0.5307666666666667,0.08333333333333333,0.16666666666666666,,0.24,4.88,23.683333333333334,0.2857142857142857,,,,,1.0,,0.2,0.3333333333333333,2.0,2.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1631117-1641718-203937,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Walker Kessler, Keyonte George, Kyle Anderson","Markkanen, Mykhailiuk, Kessler, George, Anderson",1628374-1629004-1631117-1641718-203937,UTA,571.0,1,10.0,-4.0,21.0,21.0,5.0,13.0,2.0,42.0,3.0,5.0,,,1.0,5.0,1.0,,2.0,1.0,6.0,,,5.0,11.0,1.0,8.0,3.0,16.0,20.0,,,,,,,3.0,,,6.0,4.0,3.0,6.0,1.0,3.0,1.0,4.0,1.0,,1.0,1.0,9.0,1.0,1.0,3.0,4.0,10.0,2.0,12.0,,1.0,,,1.0,,3.0,3.0,4.0,7.0,3.0,,4.0,2.0,,,,,16.0,,5.0,,0.6,0.6,1.0,0.125,,0.125,0.45454545454545453,,,0.34210526315789475,,,0.38095238095238093,,,0.42105263157894735,,1.0,0.16666666666666666,0.75,0.16666666666666666,0.875,0.16666666666666666,,0.25,0.25,,1.0,,105.91943957968475,14.576190476190478,12.614285714285714,14.52857142857143,12.614285714285714,0.2631578947368421,0.6,0.6,0.3333333333333333,0.2631578947368421,0.2,0.25,1.0,0.05263157894736842,0.10526315789473684,,,,0.3157894736842105,0.16666666666666666,0.16666666666666666,1.0,,,,,,,0.6842105263157895,0.16666666666666666,0.5762472222222222,,0.50383,0.09523809523809523,0.15384615384615385,,,5.8,26.02857142857143,0.23809523809523808,2.0,3.0,1.0,0.3333333333333333,1.0,1.0,0.09090909090909091,0.2,,1.0,1.0,,,,,,1.0,,3.0,,,,2.0,,1.0,,,,,,,,3.0,1.0,,,,1.0,1.0,0.6666666666666666,,1.0,1.0,1.0,,,,0.16666666666666666,,,,,,,1.0,1.0,0.16666666666666666,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1631117-1642846-203937,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Walker Kessler, Ace Bailey, Kyle Anderson","Markkanen, Mykhailiuk, Kessler, Bailey, Anderson",1628374-1629004-1631117-1642846-203937,UTA,205.0,1,3.0,-2.0,5.0,6.0,,,,11.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,3.0,,1.0,1.0,3.0,5.0,,,,,,,,,,2.0,,,,,1.0,,1.0,,,1.0,,2.0,,,1.0,2.0,3.0,,3.0,,,,1.0,,1.0,,1.0,,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,1.0,3.0,,,,1.0,1.0,,,,,0.3333333333333333,,,0.25,,,0.3,,,0.25,1.0,0.5,,0.2,,0.3333333333333333,,,,,,0.2,,77.26829268292683,19.6,17.833333333333332,19.6,12.666666666666666,0.25,1.0,1.0,1.0,0.25,,,,0.25,0.25,,,,,,,,,,,,,,0.5,,0.5462125,,,0.2,0.25,,,9.933333333333334,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1641707-1641718-1641989,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Taylor Hendricks, Keyonte George, Elijah Harkless","Markkanen, Mykhailiuk, Hendricks, George, Harkless",1628374-1629004-1641707-1641718-1641989,UTA,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2026,2025-26,True
1628374-1629004-1641707-1641718-201567,1610612762,"Lauri Markkanen, Svi Mykhailiuk, Taylor Hendricks, Keyonte George, Kevin Love","Markkanen, Mykhailiuk, Hendricks, George, Love",1628374-1629004-1641707-1641718-201567,UTA,289.0,2,5.0,2.0,9.0,10.0,,,2.0,19.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,,,3.0,6.0,4.0,5.0,,18.0,16.0,1.0,2.0,,,2.0,,,,,4.0,2.0,9.0,3.0,3.0,2.0,3.0,5.0,2.0,1.0,2.0,,13.0,1.0,1.0,1.0,,1.0,2.0,3.0,1.0,2.0,2.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,16.0,,,,0.6666666666666666,0.6666666666666666,0.75,0.8,,0.8,0.5,0.5,,0.8181818181818182,0.5,,0.8181818181818182,0.5,,0.45454545454545453,,,0.3333333333333333,0.5,1.0,0.2,0.5,,0.5,,,0.5,0.25,94.67128027681662,14.333333333333334,16.0,12.222222222222221,14.0,0.18181818181818182,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,,0.09090909090909091,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,,,,0.6363636363636364,1.0,0.5449772727272727,0.5157,,,,0.1111111111111111,,7.866666666666667,25.380000000000003,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2026,2025-26,True
