EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGM,Arc3FGA,FG3M,FG3A,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Steals,BadPassSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,SelfOReb,Loose Ball Fouls Drawn,Offensive Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeFGM,PenaltyArc3FGA,PenaltyFG3A,ShortMidRangeAssists,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Frequency,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,LiveBallTurnoverPct,OffCorner3ReboundPct,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg3Pct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefAtRimReboundPct,Travels,Charge Fouls,PtsPutbacks,LongMidRangeFGM,SecondChanceCorner3FGA,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,Technical Free Throw Trips,SecondChanceCorner3FGM,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,AtRimPctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls Drawn,Corner3PctBlocked,LongMidRangePctBlocked,Defensive 3 Seconds Violations,BlockedLongMidRange,DefensiveGoaltends,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
1627827-1628988-1629006-1630256-203991,1610612745,"Dorian Finney-Smith, Aaron Holiday, Josh Okogie, Jae'Sean Tate, Clint Capela","Finney-Smith, Holiday, Okogie, Tate, Capela",1627827-1628988-1629006-1630256-203991,HOU,51.1,1,1.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,112.72015655577299,10.9,14.65,10.9,14.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8481,0.8481,1.0,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1629006-1630578-1631095,1610612745,"Dorian Finney-Smith, Aaron Holiday, Josh Okogie, Alperen Sengun, Jabari Smith Jr.","Finney-Smith, Holiday, Okogie, Sengun, Smith Jr.",1627827-1628988-1629006-1630578-1631095,HOU,238.0,1,4.0,-2.0,6.0,7.0,,,13.0,,,,,,,3.0,6.0,,,,,,,1.0,,3.0,,2.0,2.0,2.0,4.0,,6.0,,,,,,,0.75,,0.75,,,0.2857142857142857,,78.65546218487394,16.0,20.285714285714285,16.0,15.571428571428571,,,,,,,1.0,0.50925,,,,,1.0,2.0,1.0,2.0,8.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1629006-1630578-1641708,1610612745,"Dorian Finney-Smith, Aaron Holiday, Josh Okogie, Alperen Sengun, Amen Thompson","Finney-Smith, Holiday, Okogie, Sengun, Thompson",1627827-1628988-1629006-1630578-1641708,HOU,82.6,2,1.0,2.0,3.0,4.0,,,7.0,1.0,3.0,,2.0,1.0,4.0,2.0,4.0,,2.0,,,,,,,,,1.0,6.0,3.0,2.0,,2.0,,,,,0.25,,0.16666666666666666,,0.2857142857142857,,,,,122.03389830508476,17.2,7.75,12.200000000000001,7.75,0.5,0.3333333333333333,0.3333333333333333,,1.0,,0.8333333333333334,0.5884166666666667,0.6386,,4.05,,,2.0,,2.0,2.0,,2.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,0.3333333333333333,,,0.3333333333333333,,,,,0.14285714285714285,0.2,27.25,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.25,1.0,1.0,1.0,0.5,0.8,1.0,1.0,0.5,0.2,0.16666666666666666,0.75,0.3333333333333333,0.25,0.6408875,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1629006-1630578-1642263,1610612745,"Dorian Finney-Smith, Aaron Holiday, Josh Okogie, Alperen Sengun, Reed Sheppard","Finney-Smith, Holiday, Okogie, Sengun, Sheppard",1627827-1628988-1629006-1630578-1642263,HOU,189.0,2,3.0,-2.0,6.0,6.0,5.0,3.0,12.0,,3.0,,3.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,,2.0,,2.0,4.0,2.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,0.2,0.2,0.14285714285714285,0.16666666666666666,0.1875,0.21428571428571427,,1.0,,91.42857142857143,16.3,15.200000000000001,15.683333333333332,15.200000000000001,0.42857142857142855,,,,0.5,,0.7142857142857143,0.4657071428571428,0.45439999999999997,1.0,5.12,0.8333333333333334,,2.0,,2.0,5.0,,2.0,,,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,0.2857142857142857,1.0,1.0,0.2857142857142857,,,,,,,28.5,2.0,,2.0,2.0,,,2.0,,,,,2.0,,,2.0,,,,,,,,,0.6666666666666666,,0.4,0.5,1.0,,,0.2857142857142857,1.0,,,0.4483,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1629006-1631095-1641708,1610612745,"Dorian Finney-Smith, Aaron Holiday, Josh Okogie, Jabari Smith Jr., Amen Thompson","Finney-Smith, Holiday, Okogie, Smith Jr., Thompson",1627827-1628988-1629006-1631095-1641708,HOU,10.1,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.5742574257426,,10.1,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1629006-1642384-201145,1610612745,"Dorian Finney-Smith, Aaron Holiday, Josh Okogie, Isaiah Crawford, Jeff Green","Finney-Smith, Holiday, Okogie, Crawford, Green",1627827-1628988-1629006-1642384-201145,HOU,527.0,3,9.0,-6.0,18.0,19.0,16.0,17.0,37.0,2.0,2.0,2.0,2.0,5.0,8.0,5.0,21.0,4.0,7.0,5.0,19.0,,,1.0,,3.0,,3.0,4.0,4.0,5.0,1.0,19.0,19.0,16.0,,,0.625,0.5714285714285714,0.5333333333333333,0.5384615384615384,0.6176470588235294,0.6333333333333333,,0.75,,101.10056925996206,16.072222222222223,12.510526315789473,16.072222222222223,12.510526315789473,0.13333333333333333,1.0,1.0,,0.15384615384615385,1.0,0.6,0.4765333333333333,0.4738076923076923,0.9047619047619048,10.6375,0.8888888888888888,2.0,6.0,2.0,7.0,27.0,3.0,6.0,2.0,1.0,1.0,3.0,2.0,,1.0,,2.0,1.0,4.0,,,2.0,,,,0.5,0.2857142857142857,0.2857142857142857,0.4666666666666667,0.75,0.75,0.4,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.125,0.2222222222222222,25.67142857142857,1.0,,,3.0,,,,,2.0,10.0,1.0,,,,1.0,,,,,,1.0,,,,0.2,0.125,,,,,0.2,,,,,0.09523809523809523,3.0,5.0,6.0,,1.0,1.0,1.0,,0.38461538461538464,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.5,1.0,0.2,0.06666666666666667,0.07692307692307693,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1629006-1642384-203991,1610612745,"Dorian Finney-Smith, Aaron Holiday, Josh Okogie, Isaiah Crawford, Clint Capela","Finney-Smith, Holiday, Okogie, Crawford, Capela",1627827-1628988-1629006-1642384-203991,HOU,37.0,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,77.83783783783784,12.9,24.1,12.9,24.1,,,,,,,,0.3907,0.3907,1.0,8.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1629006-201142-203991,1610612745,"Dorian Finney-Smith, Aaron Holiday, Josh Okogie, Kevin Durant, Clint Capela","Finney-Smith, Holiday, Okogie, Durant, Capela",1627827-1628988-1629006-201142-203991,HOU,123.0,1,2.0,,4.0,4.0,,3.0,8.0,,,,,1.0,4.0,1.0,3.0,,,,,,,,,,,3.0,4.0,1.0,1.0,,,,,,,0.25,,0.2,,0.3,,,0.5,,93.65853658536587,17.25,13.5,15.25,9.25,,,,,,,0.2,0.46403,,,15.2,,,1.0,,1.0,3.0,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,0.2,0.5,0.6666666666666666,0.2,,,,,0.2,0.25,26.2,1.0,,,2.0,,1.0,1.0,,3.0,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.5,1.0,,0.3333333333333333,,0.25,,1.0,,,0.4,,,,0.4491,1.0,1.0,,,,,0.5,0.5,,,2.0,,,,1.0,,,,,,,1.0,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1630256-1630578-1641708,1610612745,"Dorian Finney-Smith, Aaron Holiday, Jae'Sean Tate, Alperen Sengun, Amen Thompson","Finney-Smith, Holiday, Tate, Sengun, Thompson",1627827-1628988-1630256-1630578-1641708,HOU,119.0,1,2.0,-2.0,3.0,4.0,,,7.0,1.0,2.0,,,1.0,2.0,,5.0,,,,,2.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,,,,3.0,,,1.0,1.0,0.5,,0.8333333333333334,,0.8333333333333334,,1.0,1.0,1.0,84.70588235294117,22.0,13.25,21.666666666666668,13.25,0.6666666666666666,0.5,0.5,1.0,,,1.0,0.5861166666666667,,,1.8,,1.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,1.0,1.0,1.0,1.0,,,28.3,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,0.7438,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
1627827-1628988-1630578-1631095-1641708,1610612745,"Dorian Finney-Smith, Aaron Holiday, Alperen Sengun, Jabari Smith Jr., Amen Thompson","Finney-Smith, Holiday, Sengun, Smith Jr., Thompson",1627827-1628988-1630578-1631095-1641708,HOU,545.0,2,9.0,-5.0,17.0,17.0,,,34.0,3.0,4.0,,,5.0,10.0,2.0,18.0,,,,,6.0,3.0,5.0,2.0,12.0,3.0,6.0,9.0,4.0,2.0,,13.0,,,0.6,0.6,0.5,,0.47058823529411764,,0.5294117647058824,,0.75,0.7142857142857143,,89.83486238532109,18.235294117647058,13.823529411764707,16.764705882352942,13.647058823529411,0.23529411764705882,0.75,0.75,0.6666666666666666,,,0.6470588235294118,0.5343735294117647,,,7.17,,1.0,4.0,2.0,7.0,23.0,6.0,4.0,1.0,2.0,1.0,2.0,,,2.0,,3.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.2857142857142857,0.2857142857142857,0.4117647058823529,0.6666666666666666,1.0,0.23529411764705882,0.25,0.25,1.0,0.25,0.11764705882352941,0.2,24.7,3.0,,,6.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0,1.0,,1.0,3.0,,,,0.5,0.8333333333333334,0.8333333333333334,1.0,,0.2,0.4,0.3,,0.25,0.3333333333333333,,0.35294117647058826,,,0.3333333333333333,0.5796,0.2777777777777778,2.0,,,1.0,,0.3333333333333333,0.3333333333333333,0.5,,,3.0,,,,,,,1.0,,,2.0,,,0.3333333333333333,0.5,,0.17647058823529413,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2026,2025-26,False
