EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,Loose Ball Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,FtPoints,PenaltyFtPoints,PenaltyPoints,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,Fg2aBlocked,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,BadPassSteals,Blocked3s,BlockedCorner3,Blocks,SecondChanceAtRimFGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsPutbacks,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,DeadBallTurnovers,Offensive Fouls,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,BadPassTurnovers,PenaltyTurnovers,Charge Fouls,Blocked2s,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3FGM,PenaltyFG3M,BlockedArc3,PenaltyFg3Pct,PenaltyArc3Accuracy,Charge Fouls Drawn,Offensive Fouls Drawn,SecondChanceCorner3FGM,SecondChanceFG3M,PtsUnassisted3s,FTDefRebounds,SecondChanceTurnovers,SecondChanceFg3Pct,DefFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,BlockedAtRim,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangeAssists,LongMidRangePctAssisted,DefensiveGoaltends,Travels,Technical Free Throw Trips,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Transition Take Fouls,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,HeaveAttempts,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627832-1628415-1628988-1629111-1630256,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Jock Landale, Jae'Sean Tate","VanVleet, Brooks, Holiday, Landale, Tate",1627832-1628415-1628988-1629111-1630256,HOU,109.0,1,2.0,3.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,5.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,92.4770642201835,15.333333333333334,15.75,15.333333333333334,12.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.65105,0.7,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630224-1630578,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Jalen Green, Alperen Sengun","VanVleet, Brooks, Holiday, Green, Sengun",1627832-1628415-1628988-1630224-1630578,HOU,35.0,3,1.0,-1.0,2.0,1.0,3.0,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,123.42857142857142,10.5,14.0,10.5,5.0,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630224-1631106,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Jalen Green, Tari Eason","VanVleet, Brooks, Holiday, Green, Eason",1627832-1628415-1628988-1630224-1631106,HOU,17.0,1,,,1.0,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,169.41176470588235,11.0,6.0,11.0,6.0,,,,,1.0,,,,,,,,1.0,,0.4515,,23.7,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630224-1641708,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Jalen Green, Amen Thompson","VanVleet, Brooks, Holiday, Green, Thompson",1627832-1628415-1628988-1630224-1641708,HOU,4.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630256-1630578,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Jae'Sean Tate, Alperen Sengun","VanVleet, Brooks, Holiday, Tate, Sengun",1627832-1628415-1628988-1630256-1630578,HOU,365.0,2,6.0,8.0,11.0,12.0,23.0,3.0,6.0,1.0,1.0,,1.0,5.0,9.0,1.0,2.0,13.0,5.0,4.0,3.0,1.0,,2.0,1.0,3.0,,1.0,1.0,7.0,7.0,1.0,8.0,9.0,2.0,1.0,13.0,0.4,0.4,1.0,0.5,0.5,0.5555555555555556,0.5909090909090909,0.5416666666666666,0.18181818181818182,0.5,0.875,0.8,1.0,1.0,90.73972602739727,15.909090909090908,15.833333333333334,15.818181818181818,15.833333333333334,0.5454545454545454,0.5,0.6,0.3333333333333333,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,,,,0.7272727272727273,,0.5100772727272728,6.211111111111111,23.4,3.0,,,4.0,,,2.0,1.0,3.0,0.4,0.3076923076923077,0.2727272727272727,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,0.5,0.1111111111111111,0.16666666666666666,1.0,0.25,0.2,0.3333333333333333,0.8,0.25,0.18181818181818182,0.5,0.5,1.0,0.09090909090909091,1.0,1.0,1.0,0.75,0.3333333333333333,0.6184,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630256-1641708,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Jae'Sean Tate, Amen Thompson","VanVleet, Brooks, Holiday, Tate, Thompson",1627832-1628415-1628988-1630256-1641708,HOU,20.0,4,,1.0,1.0,3.0,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,0.5,,,1.0,1.0,,,288.0,,6.666666666666667,,6.666666666666667,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,0.5,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630578-1631095,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Alperen Sengun, Jabari Smith Jr.","VanVleet, Brooks, Holiday, Sengun, Smith Jr.",1627832-1628415-1628988-1630578-1631095,HOU,263.0,1,4.0,1.0,10.0,9.0,19.0,2.0,4.0,,,,3.0,3.0,9.0,,3.0,8.0,7.0,2.0,,3.0,,1.0,,1.0,,,,2.0,2.0,3.0,5.0,8.0,2.0,1.0,4.0,0.3333333333333333,0.5,,,,0.3333333333333333,0.25,0.3076923076923077,0.25,1.0,1.0,1.0,1.0,,104.03041825095056,15.0,12.555555555555555,13.6,12.555555555555555,0.3333333333333333,0.5,1.0,,,,,,0.25,,,,0.5833333333333334,,0.5111708333333334,5.944444444444445,25.566666666666666,9.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,9.0,0.36363636363636365,1.0,0.9,,3.0,1.0,2.0,4.0,1.0,4.0,,1.0,2.0,3.0,8.0,4.0,2.0,1.0,2.0,3.0,,1.0,1.0,,,,8.0,1.0,0.375,0.3,0.2222222222222222,0.5,,0.3333333333333333,0.3333333333333333,0.5,1.0,,0.3333333333333333,0.25,0.25,1.0,0.08333333333333333,,,0.5,0.4,0.5,0.5477,0.51292,,,,,1.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630578-1631106,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Alperen Sengun, Tari Eason","VanVleet, Brooks, Holiday, Sengun, Eason",1627832-1628415-1628988-1630578-1631106,HOU,232.0,2,4.0,-4.0,7.0,9.0,16.0,2.0,2.0,,,1.0,1.0,3.0,5.0,1.0,1.0,11.0,15.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,2.0,1.0,3.0,4.0,2.0,,9.0,,,1.0,1.0,1.0,0.6,0.75,0.7857142857142857,0.16666666666666666,1.0,1.0,1.0,1.0,,99.3103448275862,13.285714285714286,15.444444444444445,13.285714285714286,14.222222222222221,0.3333333333333333,1.0,1.0,,,,,,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,0.5261,4.42,26.3,,2.0,,,3.0,4.0,3.0,,,,,,3.0,1.0,1.0,,,1.0,3.0,,,1.0,,,6.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,0.5,0.5,,1.0,,0.5,0.3333333333333333,0.3333333333333333,,,,,1.0,,,0.6098,,,,,,1.0,,1.0,,2.0,,2.0,,1.0,1.0,1.0,,0.5,,,1.0,,0.18181818181818182,1.0,2.0,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630578-1641708,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Alperen Sengun, Amen Thompson","VanVleet, Brooks, Holiday, Sengun, Thompson",1627832-1628415-1628988-1630578-1641708,HOU,81.0,2,1.0,-1.0,2.0,3.0,5.0,,,,1.0,,2.0,1.0,2.0,,3.0,2.0,3.0,,,2.0,,,,,,,,,1.0,,1.0,4.0,1.0,1.0,2.0,,,,,,0.5,0.2,0.2,0.6,,1.0,1.0,,1.0,88.88888888888889,30.0,7.0,23.0,7.0,,,,,0.2,,,,0.4,,,,0.6,,0.50561,11.75,25.366666666666664,,,,,,2.0,,,,,,,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,2.0,,,1.0,3.0,,,,,,,,,,,,,,1.0,0.75,,,,0.2,,,,0.2,1.0,1.0,,,,0.5412,,,,,,,,,,,,,2.0,,,,0.6666666666666666,1.0,0.5,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1628988-1630578-1641715,1610612745,"Fred VanVleet, Dillon Brooks, Aaron Holiday, Alperen Sengun, Cam Whitmore","VanVleet, Brooks, Holiday, Sengun, Whitmore",1627832-1628415-1628988-1630578-1641715,HOU,193.0,2,3.0,-1.0,7.0,7.0,14.0,2.0,2.0,,,1.0,2.0,2.0,3.0,1.0,2.0,9.0,10.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,1.0,2.0,3.0,3.0,3.0,,9.0,0.5,0.5,1.0,0.5,0.5,0.6666666666666666,0.7,0.9,0.4,1.0,1.0,1.0,,,104.4559585492228,16.428571428571427,11.142857142857142,16.428571428571427,11.142857142857142,0.4,1.0,1.0,0.5,,,,,0.4,0.5,0.5,1.0,0.8,0.5,0.56995,5.433333333333334,25.9,,2.0,,,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,2.0,1.0,,,,,,,1.0,1.0,2.0,,,,,0.3333333333333333,,0.5,,,,1.0,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,0.2,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
