EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,PenaltyOffPoss,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,Fg3aBlocked,AtRimAssists,ShortMidRangeAssists,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,PenaltyPointsPct,Corner3FGM,Corner3Assists,FTDefRebounds,DefFTReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,PtsPutbacks,ShortMidRangePctBlocked,SecondChanceAtRimAccuracy,PenaltyCorner3FGA,Loose Ball Fouls,DefCorner3ReboundPct,PenaltyCorner3Frequency,Travels,SecondChanceTurnovers,OffLongMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,PtsUnassisted3s,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,HeaveAttempts,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,LostBallOutOfBoundsTurnovers,OffensiveGoaltends,Charge Fouls Drawn,Defensive 3 Seconds Violations,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,3SecondViolations,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
1626153-1626171-1626192-1627752-1629018,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Taurean Prince, Gary Trent Jr.","Wright, Portis, Connaughton, Prince, Trent Jr.",1626153-1626171-1626192-1627752-1629018,MIL,308.0,1,5.0,1.0,8.0,9.0,3.0,17.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,4.0,2.0,9.0,8.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,0.5,0.5,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.35,0.3333333333333333,0.375,0.375,0.4,0.3333333333333333,0.5,0.75,0.75,1.0,0.3333333333333333,0.8,0.5714285714285714,0.75,1.0,1.0,1.0,1.0,0.2,79.48051948051948,1.0,19.5,16.88888888888889,17.625,16.555555555555557,0.4,0.1,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.3,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.8,0.3333333333333333,0.49972000000000005,0.5230333333333334,0.16666666666666666,0.25,0.3333333333333333,4.8999999999999995,24.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1627752-1631260,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Taurean Prince, AJ Green","Wright, Portis, Connaughton, Prince, Green",1626153-1626171-1626192-1627752-1631260,MIL,113.0,2,2.0,-4.0,3.0,5.0,,8.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,5.0,9.0,,,,,2.0,,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.8333333333333334,,0.8333333333333334,,0.3333333333333333,,,1.0,,,,0.5,,,,,1.0,,,101.94690265486726,1.0,16.333333333333332,12.8,16.333333333333332,10.2,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,0.4623333333333333,,,,,13.1,25.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1627752-201572,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Taurean Prince, Brook Lopez","Wright, Portis, Connaughton, Prince, Lopez",1626153-1626171-1626192-1627752-201572,MIL,106.0,2,2.0,-5.0,4.0,3.0,1.0,7.0,,,,,,1.0,,,2.0,,1.0,,2.0,,,5.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,95.09433962264151,,14.0,16.666666666666668,12.0,15.666666666666666,,,,,0.3333333333333333,,,,,0.6666666666666666,,,,,0.6666666666666666,,0.51825,,,,,15.6,26.55,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.504075,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1627752-203507,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Taurean Prince, Giannis Antetokounmpo","Wright, Portis, Connaughton, Prince, Antetokounmpo",1626153-1626171-1626192-1627752-203507,MIL,548.0,4,9.0,1.0,19.0,18.0,1.0,37.0,2.0,,2.0,3.0,,2.0,1.0,3.0,5.0,4.0,7.0,3.0,6.0,7.0,24.0,23.0,,1.0,,,4.0,4.0,9.0,5.0,3.0,,2.0,3.0,5.0,3.0,,13.0,1.0,1.0,3.0,3.0,6.0,2.0,8.0,,1.0,,1.0,4.0,6.0,9.0,4.0,1.0,,1.0,1.0,24.0,0.5,0.5,1.0,0.5,0.5,0.5714285714285714,,0.6538461538461539,,0.7058823529411765,,0.46153846153846156,,,0.6,0.3333333333333333,0.75,0.5,0.6666666666666666,0.4,,,1.0,0.3333333333333333,0.75,,97.22627737226279,1.0,13.473684210526315,16.22222222222222,12.947368421052632,15.833333333333334,0.15384615384615385,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.15384615384615385,,,,0.07692307692307693,0.38461538461538464,0.6,0.75,1.0,,0.6153846153846154,0.6,0.5118307692307693,0.57765,0.25,0.4,,8.22857142857143,25.21666666666667,11.0,14.0,,4.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,,14.0,0.5,,0.5,0.5412375,0.7368421052631579,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,19.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,0.75,0.75,0.9375,0.95,0.16666666666666666,0.2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,1.0,0.75,0.7916666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1629018-1630699,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Gary Trent Jr., MarJon Beauchamp","Wright, Portis, Connaughton, Trent Jr., Beauchamp",1626153-1626171-1626192-1629018-1630699,MIL,293.0,1,5.0,,8.0,7.0,2.0,15.0,,,1.0,6.0,1.0,4.0,1.0,,,2.0,10.0,1.0,1.0,,7.0,7.0,,3.0,,,2.0,2.0,3.0,,,,1.0,1.0,2.0,,,5.0,,3.0,,3.0,4.0,3.0,7.0,2.0,,,2.0,3.0,,,,,,,,7.0,0.5,0.5,1.0,1.0,1.0,0.2,,0.3181818181818182,,0.3181818181818182,,0.09090909090909091,,,1.0,0.375,,,1.0,0.375,,,,1.0,,0.25,73.72013651877133,,19.0,20.142857142857142,16.75,20.142857142857142,,0.5454545454545454,0.16666666666666666,0.16666666666666666,0.36363636363636365,0.25,0.25,,0.09090909090909091,,,,,,0.09090909090909091,,0.43665,0.4402333333333333,,,,12.309999999999999,23.5,1.0,1.0,,,,1.0,,,,,,,1.0,,,,0.3628,0.125,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.6,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1629018-1631260,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Gary Trent Jr., AJ Green","Wright, Portis, Connaughton, Trent Jr., Green",1626153-1626171-1626192-1629018-1631260,MIL,55.0,1,1.0,-4.0,1.0,2.0,,3.0,1.0,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,78.54545454545455,,32.0,11.5,32.0,11.5,1.0,,,,,,,,,,,,,,1.0,,0.6455,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1629018-1641748,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Gary Trent Jr., Andre Jackson Jr.","Wright, Portis, Connaughton, Trent Jr., Jackson Jr.",1626153-1626171-1626192-1629018-1641748,MIL,237.0,1,4.0,4.0,6.0,6.0,2.0,12.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,2.0,3.0,6.0,,3.0,,6.0,2.0,2.0,2.0,,4.0,,6.0,,2.0,,1.0,,,,,,,1.0,2.0,,3.0,3.0,3.0,6.0,,,,,,1.0,,,,,,,2.0,,,,,,0.5,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,,0.6,0.6666666666666666,,0.5,0.6,0.6,,1.0,0.5,1.0,,,72.91139240506328,,17.166666666666668,22.333333333333332,13.5,19.833333333333332,0.1111111111111111,0.4444444444444444,0.25,0.3333333333333333,0.1111111111111111,1.0,1.0,,0.1111111111111111,0.2222222222222222,,,,0.3333333333333333,0.4444444444444444,,0.44235,0.4494,,,0.6666666666666666,7.75,25.2,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,1.0,1.0,,,0.3333333333333333,,,,,,,,,,,,,1.0,2.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1629018-203081,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Gary Trent Jr., Damian Lillard","Wright, Portis, Connaughton, Trent Jr., Lillard",1626153-1626171-1626192-1629018-203081,MIL,174.0,1,3.0,-3.0,5.0,5.0,,10.0,1.0,,,,,,2.0,,,1.0,1.0,,2.0,1.0,3.0,6.0,,,,,2.0,,,,,,1.0,,1.0,,,2.0,,,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,2.0,,,,,,3.0,1.0,1.0,,,,1.0,,0.3333333333333333,,0.375,,0.6666666666666666,,,0.2,,0.5,,0.2857142857142857,,,,0.3333333333333333,,,,82.75862068965517,,17.2,17.6,17.2,14.0,0.3333333333333333,,,,,,,,0.6666666666666666,,,,,,1.0,,0.5820333333333333,,,,,2.8,23.05,,5.0,,,,1.0,2.0,,,,,,5.0,,,,0.5820333333333333,1.0,1.0,1.0,1.0,,,1.0,,1.0,3.0,,1.0,,,,,,,,,1.0,,3.0,1.0,,1.0,0.3333333333333333,0.375,,,,,1.0,1.0,1.0,,,0.3333333333333333,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1629018-203507,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, Gary Trent Jr., Giannis Antetokounmpo","Wright, Portis, Connaughton, Trent Jr., Antetokounmpo",1626153-1626171-1626192-1629018-203507,MIL,535.0,6,9.0,-10.0,17.0,17.0,3.0,34.0,7.0,3.0,,3.0,,1.0,2.0,1.0,5.0,4.0,11.0,2.0,7.0,,14.0,24.0,2.0,4.0,,4.0,4.0,4.0,6.0,5.0,1.0,1.0,2.0,2.0,4.0,1.0,,10.0,2.0,3.0,3.0,3.0,6.0,5.0,11.0,1.0,,,2.0,5.0,3.0,,,1.0,1.0,1.0,1.0,10.0,0.5,0.6666666666666666,1.0,0.2857142857142857,0.2857142857142857,0.36363636363636365,0.5,0.3888888888888889,0.5,0.3888888888888889,0.5,0.3888888888888889,0.09090909090909091,,0.75,0.42857142857142855,0.6,0.4,0.6666666666666666,0.4166666666666667,0.6666666666666666,,0.6666666666666666,1.0,0.75,0.09090909090909091,91.51401869158879,1.0,15.411764705882353,16.058823529411764,14.764705882352942,15.470588235294118,0.3888888888888889,0.16666666666666666,,,0.05555555555555555,,,,0.1111111111111111,0.2777777777777778,0.2,0.2,1.0,0.75,0.7777777777777778,0.2,0.5451194444444445,0.52565,,,0.2857142857142857,5.109090909090909,25.457142857142856,8.0,3.0,,1.0,,1.0,1.0,,,2.0,,1.0,3.0,,,0.5,0.4123,0.17647058823529413,4.0,,,,1.0,,1.0,,3.0,,2.0,,,,2.0,,1.0,,,,,3.0,,1.0,,0.75,0.75,,,0.3333333333333333,0.5,0.5714285714285714,0.5714285714285714,0.5,,,,,1.0,0.21428571428571427,1.0,1.0,,,,0.5,0.5,1.0,2.0,2.0,0.3333333333333333,0.6666666666666666,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
1626153-1626171-1626192-1631260-1641748,1610612749,"Delon Wright, Bobby Portis, Pat Connaughton, AJ Green, Andre Jackson Jr.","Wright, Portis, Connaughton, Green, Jackson Jr.",1626153-1626171-1626192-1631260-1641748,MIL,129.0,1,2.0,,5.0,4.0,,9.0,,,,1.0,,,1.0,,2.0,,1.0,1.0,3.0,,3.0,3.0,,,,,,,3.0,2.0,,,,1.0,1.0,,,3.0,,,,1.0,2.0,,2.0,,1.0,,1.0,1.0,,,,,,,,3.0,,,1.0,0.3333333333333333,0.3333333333333333,,,0.375,,0.375,,0.75,,,1.0,,,,1.0,,,,1.0,,,,100.46511627906978,,17.4,10.5,17.4,10.5,,0.25,,,,,,,0.25,0.5,,,,,0.75,,0.504575,,,,,6.7,25.733333333333334,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,False
