EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,FTOffRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,LiveBallTurnoverPct,OffFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimAssists,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,LongMidRangeAssists,Loose Ball Fouls Drawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,DefCorner3ReboundPct,LostBallSteals,DefAtRimReboundPct,FTDefRebounds,DefFTReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,OffThreePtRebounds,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3FGA,PenaltyArc3FGM,PtsUnassisted3s,Fg3aBlocked,Travels,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,Technical Free Throw Trips,SecondChanceFtPoints,OffArc3ReboundPct,BadPassOutOfBoundsTurnovers,Charge Fouls,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,LostBallOutOfBoundsTurnovers,OffLongMidRangeReboundPct,SecondChanceArc3PctAssisted,Blocked3s,BlockedCorner3,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,LongMidRangePctBlocked,Offensive Fouls Drawn,SecondChanceCorner3FGM,Clear Path Fouls,Transition Take Fouls Drawn,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Transition Take Fouls,team_id,year,season,team_vs
1628415-1630224-1631095-1631106-1641708,1610612745,"Dillon Brooks, Jalen Green, Jabari Smith Jr., Tari Eason, Amen Thompson","Brooks, Green, Smith Jr., Eason, Thompson",1628415-1630224-1631095-1631106-1641708,HOU,35.0,1,1.0,-4.0,2.0,2,1.0,4,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,164.57142857142856,9.5,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1630224-1630578-1631095-1641708,1610612745,"Fred VanVleet, Jalen Green, Alperen Sengun, Jabari Smith Jr., Amen Thompson","VanVleet, Green, Sengun, Smith Jr., Thompson",1627832-1630224-1630578-1631095-1641708,HOU,456.0,4,8.0,-8.0,18.0,19,2.0,37,26.0,,2.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,5.0,0.75,,116.8421052631579,13.166666666666666,11.526315789473685,13.166666666666666,10.736842105263158,15.0,12.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,10.0,3.0,5.0,3.0,18.0,1.0,1.0,2.0,2.0,9.0,1.0,3.0,3.0,10.0,2.0,4.0,9.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,16.0,10.0,15.0,2.0,2.0,0.3333333333333333,0.5,1.0,0.6,0.3333333333333333,0.75,0.3,1.0,0.2222222222222222,0.5,1.0,0.2916666666666667,0.5294117647058824,1.0,0.35714285714285715,0.3333333333333333,0.2,0.25,0.2,0.6666666666666666,0.2857142857142857,0.5,0.6,0.25,1.0,0.5,1.0,0.5,0.16666666666666666,0.26666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.2,0.25,1.0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,0.26666666666666666,0.5,0.5,1.0,1.0,1.0,0.25,0.3333333333333333,0.08333333333333333,1.0,0.16666666666666666,0.6,0.6666666666666666,0.5050785714285715,0.6622,0.4786772727272728,0.1111111111111111,0.5555555555555556,7.709999999999999,28.639999999999997,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1631095-1631106-1641708,1610612745,"Fred VanVleet, Dillon Brooks, Jabari Smith Jr., Tari Eason, Amen Thompson","VanVleet, Brooks, Smith Jr., Eason, Thompson",1627832-1628415-1631095-1631106-1641708,HOU,265.0,2,4.0,-9.0,7.0,10,,17,14.0,,,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,,92.37735849056604,18.428571428571427,13.6,18.428571428571427,12.5,,4.0,1.0,1.0,,,,,,,,,,,,1.0,3.0,,1.0,1.0,1.0,3.0,,5.0,,,,,,,,,,2.0,,3.0,,,3.0,1.0,,1.0,1.0,2.0,1.0,,,5.0,,,2.0,2.0,,2.0,2.0,,,,,1.0,2.0,,5.0,,,1.0,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,1.0,,,0.625,,,0.5,,,0.75,,,,0.6666666666666666,,,0.6666666666666666,,,1.0,,,,0.25,1.0,1.0,,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,1.0,0.3333333333333333,0.622525,,,,,1.8,25.633333333333336,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1628988-1630224-1631095-1631106-203500,1610612745,"Aaron Holiday, Jalen Green, Jabari Smith Jr., Tari Eason, Steven Adams","Holiday, Green, Smith Jr., Eason, Adams",1628988-1630224-1631095-1631106-203500,HOU,120.0,1,2.0,6.0,5.0,4,,9,,,,4.0,,,,,,,,,,108.0,12.0,15.0,12.0,15.0,4.0,4.0,1.0,1.0,,,1.0,1.0,,,2.0,,,,,,1.0,1.0,2.0,3.0,,1.0,2.0,6.0,,,,1.0,2.0,,1.0,2.0,4.0,2.0,2.0,,,,1.0,,,1.0,,1.0,,,,2.0,,3.0,1.0,4.0,,,,,,,,2.0,2.0,,6.0,4.0,4.0,,,0.5,0.5,,,,,0.6666666666666666,,0.5,0.5,,0.3333333333333333,0.6,,0.5,0.25,,,,1.0,,1.0,1.0,,,,1.0,1.0,,0.25,1.0,1.0,,,,,0.5,,,,,0.25,,,,,,0.3333333333333333,1.0,,,0.3333333333333333,0.5,,0.4912125,,0.50415,,0.6666666666666666,12.833333333333334,25.0,0.8,,1.0,,,,,,,0.2,0.25,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628988-1630578-1631106-203500,1610612745,"Fred VanVleet, Aaron Holiday, Alperen Sengun, Tari Eason, Steven Adams","VanVleet, Holiday, Sengun, Eason, Adams",1627832-1628988-1630578-1631106-203500,HOU,129.0,1,2.0,-1.0,4.0,4,,8,5.0,,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,89.30232558139535,18.0,14.25,18.0,14.25,4.0,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,2.0,4.0,,,,1.0,1.0,,1.0,2.0,4.0,,2.0,,,,,,,,,,,,,,,2.0,,2.0,,,,,,1.0,1.0,1.0,2.0,,4.0,4.0,4.0,,,,,,,,,1.0,,1.0,0.5,,0.5,0.6666666666666666,,0.6666666666666666,0.5,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,0.5,0.5,,,,,,,,,,,,0.5,,,0.5,,0.51435,,0.51435,,1.0,21.5,23.3,1.0,,1.0,,,,,,,0.3333333333333333,0.5,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1630224-1630578-203500,1610612745,"Fred VanVleet, Dillon Brooks, Jalen Green, Alperen Sengun, Steven Adams","VanVleet, Brooks, Green, Sengun, Adams",1627832-1628415-1630224-1630578-203500,HOU,344.0,2,6.0,3.0,11.0,9,1.0,20,9.0,,1.0,5.0,,,,1.0,,,,,,83.72093023255813,16.181818181818183,18.444444444444443,14.818181818181818,18.333333333333332,,,,1.0,,,,,2.0,4.0,2.0,,,,,,2.0,,3.0,7.0,,2.0,6.0,12.0,1.0,1.0,2.0,,,,,,,4.0,2.0,,,,2.0,,1.0,2.0,,2.0,,,1.0,4.0,1.0,3.0,1.0,4.0,,1.0,,1.0,,,,3.0,6.0,,10.0,,,,,0.6666666666666666,0.6666666666666666,,,,,0.42857142857142855,1.0,,0.3333333333333333,1.0,,0.5,1.0,,0.2222222222222222,0.14285714285714285,1.0,,0.5,0.3333333333333333,1.0,0.8,0.2,1.0,,,1.0,,0.1111111111111111,,,0.4444444444444444,0.5,0.5,0.5,0.2222222222222222,,,,,0.2222222222222222,,,,,,,,,,,0.3333333333333333,,0.4681611111111111,0.4048,,0.16666666666666666,,9.657142857142857,25.85,,,3.0,,,,,,,0.25,0.3,1.0,1.0,,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1630224-1631095-1641708-203500,1610612745,"Fred VanVleet, Jalen Green, Jabari Smith Jr., Amen Thompson, Steven Adams","VanVleet, Green, Smith Jr., Thompson, Adams",1627832-1630224-1631095-1641708-203500,HOU,40.0,1,1.0,4.0,2.0,2,,4,,,,2.0,,,,,,,,,,144.0,7.5,12.5,7.5,12.5,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,2.0,,4.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.4389,,,,,6.0,,,,1.0,,,,,,,0.5,0.5,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1627832-1628415-1631106-1641708-203500,1610612745,"Fred VanVleet, Dillon Brooks, Tari Eason, Amen Thompson, Steven Adams","VanVleet, Brooks, Eason, Thompson, Adams",1627832-1628415-1631106-1641708-203500,HOU,429.0,3,7.0,-1.0,14.0,13,2.0,27,14.0,,1.0,6.0,1.0,,1.0,2.0,,2.0,4.0,0.5,,90.62937062937063,15.571428571428571,16.23076923076923,14.285714285714286,14.692307692307692,,,2.0,3.0,,,,,1.0,1.0,,,3.0,,,,2.0,,3.0,4.0,,5.0,7.0,13.0,,,,,,,,,,4.0,2.0,,,,2.0,,,2.0,,2.0,,,1.0,4.0,,2.0,3.0,5.0,,1.0,1.0,1.0,,,1.0,5.0,9.0,,13.0,,,,,0.6666666666666666,0.6666666666666666,,,,,0.75,,,0.3333333333333333,,,0.5,,,0.5555555555555556,,,,0.75,,1.0,0.8333333333333334,0.16666666666666666,,0.5,1.0,1.0,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1111111111111111,1.0,1.0,1.0,,0.3333333333333333,,,,0.2222222222222222,,,,,,,,,,,0.8888888888888888,,0.5623333333333334,0.5049,,,,3.3,24.96,,1.0,5.0,1.0,,1.0,1.0,1.0,0.5,0.38461538461538464,0.625,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1630224-1630578-1631095-1631106-203500,1610612745,"Jalen Green, Alperen Sengun, Jabari Smith Jr., Tari Eason, Steven Adams","Green, Sengun, Smith Jr., Eason, Adams",1630224-1630578-1631095-1631106-203500,HOU,395.0,3,7.0,1.0,12.0,14,2.0,26,6.0,,2.0,11.0,,,,2.0,1.0,,,,,94.78481012658229,17.75,13.0,16.083333333333332,12.714285714285714,8.0,4.0,2.0,4.0,,,1.0,2.0,,4.0,,,1.0,,,1.0,3.0,3.0,2.0,8.0,1.0,4.0,,7.0,,,,1.0,4.0,1.0,3.0,,5.0,2.0,2.0,,,,3.0,1.0,2.0,1.0,,1.0,,,,2.0,1.0,7.0,2.0,9.0,,2.0,1.0,2.0,,2.0,,2.0,1.0,,7.0,5.0,8.0,,,0.5,0.5,,0.25,0.3333333333333333,0.25,0.25,,0.25,0.2916666666666667,,0.35714285714285715,0.2916666666666667,,0.35714285714285715,0.3333333333333333,0.25,0.25,0.25,1.0,0.16666666666666666,0.875,0.9,0.25,,1.0,,0.8571428571428571,,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,,,,,0.08333333333333333,,,,0.25,0.3333333333333333,0.5,,,,0.2857142857142857,0.5,,,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4812458333333333,0.5349,0.47724285714285714,,0.7142857142857143,6.425,25.5,0.6666666666666666,1.0,1.0,,,,,,0.5,0.08333333333333333,0.125,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,0.5,1.0,,1.0,1.0,3.0,1.0,1.0,0.25,0.3333333333333333,0.25,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
1628415-1630224-1631095-1641708-203500,1610612745,"Dillon Brooks, Jalen Green, Jabari Smith Jr., Amen Thompson, Steven Adams","Brooks, Green, Smith Jr., Thompson, Adams",1628415-1630224-1631095-1641708-203500,HOU,86.0,1,1.0,-1.0,3.0,2,,5,3.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,83.72093023255813,19.0,14.5,19.0,13.5,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,2.0,,,,,1.0,,,1.0,,1.0,,,1.0,2.0,,,1.0,1.0,,,,,,,,,1.0,,2.0,,,,,1.0,1.0,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,1.0,,,0.5,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,0.5,,,,,,,,,,,0.5,,0.45085,,,,,10.7,28.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2025,2024-25,False
