EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,Points,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FtPoints,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,AtRimAssists,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,LongMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LiveBallTurnoverPct,SecondChanceFtPoints,PenaltyFtPoints,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,ShortMidRangeFGM,ShortMidRangeAssists,LostBallTurnovers,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyCorner3FGM,PenaltyFG3M,PtsUnassisted3s,BlockedAtRim,PenaltyFg3Pct,PenaltyCorner3Accuracy,Charge Fouls Drawn,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,DefensiveGoaltends,PenaltyArc3FGM,Fg3aBlocked,FTOffRebounds,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,PenaltyArc3Accuracy,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,Defensive 3 Seconds Violations,HeaveAttempts,OffensiveGoaltends,Transition Take Fouls,BlockedCorner3,Corner3PctBlocked,3pt And 1 Free Throw Trips,Transition Take Fouls Drawn,team_id,year,season,team_vs
1629014-1629028-1629057-1630166-1630703,1610612757,"Anfernee Simons, Deandre Ayton, Robert Williams III, Deni Avdija, Scoot Henderson","Simons, Ayton, Williams III, Avdija, Henderson",1629014-1629028-1629057-1630166-1630703,POR,52.0,1,1.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,83.07692307692308,19.5,13.0,19.5,13.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5542,2.3,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1629057-1631101-1641739,1610612757,"Anfernee Simons, Deandre Ayton, Robert Williams III, Shaedon Sharpe, Toumani Camara","Simons, Ayton, Williams III, Sharpe, Camara",1629014-1629028-1629057-1631101-1641739,POR,290.0,1,5.0,-4.0,8.0,8.0,16.0,1.0,1.0,,1.0,2.0,3.0,,2.0,6.0,2.0,,,1.0,,2.0,6.0,,,,0.6666666666666666,0.4,0.5,0.4,79.44827586206897,21.125,15.125,21.125,14.375,0.2,1.0,1.0,0.2,,,,0.6,0.54976,11.933333333333332,24.35,6.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,10.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,0.5,0.5,0.5,0.25,0.25,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,0.4,0.5,1.0,0.2,0.25,0.25,0.4777,0.16666666666666666,0.25,0.3333333333333333,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1630703,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Scoot Henderson","Simons, Ayton, Avdija, Banton, Henderson",1629014-1629028-1630166-1630625-1630703,POR,244.0,2,4.0,4.0,7.0,8.0,15.0,4.0,7.0,1.0,1.0,4.0,8.0,1.0,3.0,11.0,4.0,3.0,1.0,3.0,1.0,7.0,9.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.2727272727272727,88.52459016393443,17.571428571428573,15.125,15.0,15.125,0.6363636363636364,0.5714285714285714,0.8,0.09090909090909091,1.0,1.0,1.0,0.9090909090909091,0.5964954545454545,2.0375,24.433333333333334,3.0,4.0,,,,2.0,1.0,,7.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,,,2.0,7.0,1.0,1.0,,2.0,2.0,,,,,,,1.0,4.0,3.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.375,,,,1.0,,,0.5,,,,0.18181818181818182,,0.25,0.6410875,,,0.36363636363636365,0.42857142857142855,3.0,1.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.2857142857142857,1.0,1.0,0.75,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.09090909090909091,1.0,0.25,0.75,0.6666666666666666,0.5994333333333334,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1631101,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Shaedon Sharpe","Simons, Ayton, Avdija, Banton, Sharpe",1629014-1629028-1630166-1630625-1631101,POR,291.0,2,5.0,7.0,8.0,8.0,16.0,1.0,1.0,2.0,5.0,2.0,3.0,3.0,6.0,18.0,,9.0,3.0,5.0,2.0,13.0,13.0,1.0,0.5,0.5,0.6666666666666666,0.7222222222222222,0.8181818181818182,0.6666666666666666,79.17525773195877,16.875,19.5,14.75,19.5,0.1111111111111111,1.0,1.0,0.5555555555555556,0.4,0.4,1.0,0.7777777777777778,0.5387166666666666,9.133333333333333,23.099999999999998,,,1.0,1.0,,1.0,,5.0,11.0,,,,,4.0,1.0,,2.0,1.0,,,3.0,6.0,,,,,1.0,,2.0,5.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,,,,0.18181818181818182,0.25,,,2.0,1.0,1.0,,,1.0,1.0,1.0,5.0,,2.0,1.0,3.0,3.0,,,,,,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,,,1.0,1.0,0.6666666666666666,0.75,,1.0,,,1.0,,1.0,0.1111111111111111,0.3333333333333333,1.0,,,0.5191,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1631133,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Jabari Walker","Simons, Ayton, Avdija, Banton, Walker",1629014-1629028-1630166-1630625-1631133,POR,133.0,1,2.0,-3.0,6.0,6.0,12.0,1.0,1.0,,,1.0,2.0,,3.0,2.0,2.0,,,,,,2.0,,,,0.5,0.2,0.2,0.6,129.92481203007517,12.333333333333334,9.833333333333334,10.333333333333334,9.5,0.2,1.0,1.0,,,,,0.8,0.59451,6.35,25.633333333333336,,4.0,,,,3.0,,,5.0,,,,,,3.0,,,,,1.0,1.0,3.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.6,,,,,,,,2.0,,,,,1.0,,1.0,,,2.0,,,2.0,,2.0,1.0,,1.0,,,,,,,,,,,0.6666666666666666,0.5,,,0.6666666666666666,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1631200,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Kris Murray","Simons, Ayton, Avdija, Banton, Murray",1629014-1629028-1630166-1630625-1631200,POR,67.0,1,1.0,-1.0,3.0,3.0,6.0,1.0,1.0,,,1.0,1.0,,1.0,4.0,,,,1.0,,2.0,3.0,,,,1.0,0.5,0.6666666666666666,0.5,128.955223880597,14.0,8.333333333333334,13.333333333333334,8.333333333333334,0.5,1.0,1.0,,,,,1.0,0.5578,2.2,25.7,3.0,,,,,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,,,,4.0,3.0,1.0,1.0,1.0,0.5,0.6666666666666666,,,,1.0,1.0,,1.0,1.0,,,,0.5,,0.5,0.5578,0.6666666666666666,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,0.5,,,,,1.0,1.0,,,1.0,,,,,,,,0.5,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-1641739,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Toumani Camara","Simons, Ayton, Avdija, Banton, Camara",1629014-1629028-1630166-1630625-1641739,POR,698.0,3,12.0,-20.0,22.0,24.0,46.0,7.0,9.0,,1.0,7.0,12.0,1.0,6.0,17.0,2.0,3.0,1.0,7.0,,15.0,17.0,1.0,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.4722222222222222,0.4722222222222222,0.3333333333333333,94.89971346704871,14.909090909090908,15.416666666666666,14.772727272727273,14.083333333333334,0.5,0.7777777777777778,0.875,0.05555555555555555,,,,0.8333333333333334,0.6331111111111112,3.8249999999999997,25.083333333333332,3.0,5.0,,1.0,,5.0,1.0,,37.0,1.0,3.0,1.0,2.0,12.0,5.0,2.0,6.0,6.0,4.0,,6.0,7.0,3.0,5.0,,1.0,5.0,1.0,1.0,,,,,,2.0,3.0,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.25,0.25,0.16666666666666666,,,0.8,0.6,0.75,1.0,0.8571428571428571,0.05555555555555555,,,0.2777777777777778,,0.25,0.6198125,,,0.11764705882352941,0.13636363636363635,1.0,,1.0,1.0,2.0,2.0,,1.0,,,,1.0,2.0,1.0,,2.0,,1.0,,,,,,,,0.1111111111111111,0.5,0.4,0.2,,0.1,,0.5,,0.6666666666666666,,,,0.1111111111111111,1.0,,0.5,0.5,0.5148,,,1.0,,,,,1.0,1.0,,,,,,,0.2,0.2,1.0,,,,,,0.2,,2.0,2.0,1.0,2.0,0.4,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630625-203924,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Dalano Banton, Jerami Grant","Simons, Ayton, Avdija, Banton, Grant",1629014-1629028-1630166-1630625-203924,POR,135.0,1,2.0,-2.0,5.0,5.0,10.0,,,,,2.0,4.0,,1.0,4.0,2.0,,,1.0,,2.0,4.0,,,,0.5,0.4,0.3333333333333333,0.2,106.66666666666667,17.0,10.0,15.2,10.0,,,,,,,,0.2,0.47596999999999995,7.9,24.8,,,1.0,1.0,,1.0,,,6.0,,,,,2.0,1.0,1.0,1.0,,,,2.0,3.0,,1.0,,,,,1.0,2.0,1.0,,,,,,0.5,0.5,,,,0.25,,,,1.0,,,,0.2,1.0,1.0,0.2,,,,0.16666666666666666,0.2,,,1.0,,,,,3.0,,1.0,,,,1.0,2.0,1.0,,,,,1.0,,,,,,,,0.3333333333333333,1.0,0.5,,0.3333333333333333,,0.5,,1.0,1.0,,,0.6,,,,,0.5643,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630703-1631101,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Scoot Henderson, Shaedon Sharpe","Simons, Ayton, Avdija, Henderson, Sharpe",1629014-1629028-1630166-1630703-1631101,POR,606.0,3,10.0,,18.0,18.0,36.0,3.0,4.0,2.0,3.0,5.0,10.0,3.0,9.0,22.0,4.0,6.0,2.0,5.0,2.0,12.0,18.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5238095238095238,0.47368421052631576,85.54455445544555,16.88888888888889,16.77777777777778,14.333333333333334,16.38888888888889,0.21052631578947367,0.75,1.0,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.6842105263157895,0.5421894736842106,6.409999999999999,26.066666666666666,3.0,9.0,,1.0,1.0,6.0,,3.0,22.0,,1.0,1.0,4.0,6.0,6.0,1.0,3.0,2.0,3.0,,6.0,11.0,1.0,2.0,,3.0,5.0,,4.0,4.0,2.0,,,2.0,4.0,3.0,0.6,0.6,,0.75,0.6666666666666666,0.1,,,0.6,0.6666666666666666,0.6,,0.6666666666666666,0.05263157894736842,,,0.3157894736842105,0.5,,0.497575,0.09523809523809523,0.16666666666666666,0.18181818181818182,0.16666666666666666,4.0,1.0,2.0,,,5.0,1.0,2.0,4.0,,2.0,3.0,3.0,5.0,2.0,1.0,1.0,,,2.0,1.0,1.0,0.5,0.2,0.3333333333333333,0.25,,0.75,0.6,0.3333333333333333,0.45454545454545453,1.0,0.6666666666666666,0.4,1.0,0.5,0.2,0.5,0.2631578947368421,0.4,0.5,,,0.4573,0.18181818181818182,,1.0,,3.0,,3.0,1.0,,,,,,,,0.16666666666666666,0.16666666666666666,,1.0,,0.6,,,0.16666666666666666,,,1.0,,,0.5,2.0,1.0,,,2.0,1.0,1.0,0.4,0.4,0.5,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
1629014-1629028-1630166-1630703-1631133,1610612757,"Anfernee Simons, Deandre Ayton, Deni Avdija, Scoot Henderson, Jabari Walker","Simons, Ayton, Avdija, Henderson, Walker",1629014-1629028-1630166-1630703-1631133,POR,61.0,1,1.0,-1.0,3.0,2.0,5.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,0.16666666666666666,0.5,118.03278688524591,12.333333333333334,12.0,12.333333333333334,12.0,0.5,,,0.5,,,,1.0,0.57595,1.4,23.0,,,,,,,,1.0,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2025,2024-25,True
