EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,DefTwoPtRebounds,FG3APctBlocked,Corner3PctBlocked,DefTwoPtReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,FTOffRebounds,DeadBallTurnovers,Offensive Fouls Drawn,OffFTReboundPct,DefAtRimReboundPct,Blocked2s,BlockedShortMidRange,Blocks,AtRimPctBlocked,DefLongMidRangeReboundPct,SecondChanceAtRimFGA,OffTwoPtRebounds,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Travels,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3FGA,PenaltyFG2M,HeaveAttempts,PenaltyFg2Pct,PenaltyArc3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFtPoints,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceFtPoints,SecondChanceAtRimFGM,PtsPutbacks,PenaltyTurnovers,SecondChanceAtRimAccuracy,StepOutOfBoundsTurnovers,BlockedAtRim,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,LongMidRangeFGM,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,OffShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Charge Fouls,Offensive Fouls,SecondChanceTurnovers,HeaveMakes,SecondChanceAtRimPctAssisted,LongMidRangeAssists,LongMidRangePctAssisted,Blocked3s,BlockedArc3,Clear Path Fouls,BlockedLongMidRange,LongMidRangePctBlocked,Transition Take Fouls,OffensiveGoaltends,3pt And 1 Free Throw Trips,DefensiveGoaltends,Charge Fouls Drawn,Defensive 3 Seconds Violations,BlockedCorner3,Transition Take Fouls Drawn,3SecondViolations,team_id,year,season,team_vs
1628366-1628470-1629632-1630172-202696,1610612741,"Lonzo Ball, Torrey Craig, Coby White, Patrick Williams, Nikola Vučević","Ball, Craig, White, Williams, Vučević",1628366-1628470-1629632-1630172-202696,CHI,350.0,1,6.0,-2.0,12.0,13.0,4.0,6.0,2.0,25.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,7.0,2.0,4.0,3.0,17.0,19.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,6.0,2.0,6.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,12.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,1.0,2.0,1.0,12.0,3.0,3.0,0.75,0.75,1.0,0.5,1.0,1.0,0.5,0.5714285714285714,1.0,0.6363636363636364,1.25,0.5,0.6538461538461539,1.25,0.375,0.36363636363636365,1.0,1.0,0.6666666666666666,1.0,0.5,0.4,1.0,0.5,1.0,0.2,102.85714285714286,15.916666666666666,12.23076923076923,14.916666666666666,11.923076923076923,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.18181818181818182,1.0,1.0,1.0,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,0.6363636363636364,0.3333333333333333,0.49811818181818185,0.42324999999999996,0.16666666666666666,0.25,0.29411764705882354,0.17647058823529413,8.671428571428573,25.65,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628470-1629632-1630581-202696,1610612741,"Lonzo Ball, Torrey Craig, Coby White, Josh Giddey, Nikola Vučević","Ball, Craig, White, Giddey, Vučević",1628366-1628470-1629632-1630581-202696,CHI,131.0,1,2.0,8.0,4.0,4.0,,,1.0,8.0,1.0,1.0,,,,2.0,3.0,,,,1.0,,,1.0,1.0,2.0,4.0,,8.0,,,,1.0,1.0,3.0,,,,,,2.0,6.0,1.0,,,2.0,2.0,,2.0,,,6.0,1.0,2.0,,3.0,1.0,4.0,,1.0,1.0,,,,,,,,,,,,5.0,,,,,1.0,0.5,1.0,,0.5,1.0,,0.8,1.5,,0.8,1.5,,0.8,,,1.0,0.5,1.0,0.5,,1.0,,,87.93893129770993,14.25,18.5,13.5,18.5,0.2,1.0,1.0,,,,,,,0.6,0.6666666666666666,1.0,1.0,0.2,,,,,,,,,1.0,,0.5219199999999999,,,,0.375,,1.6,23.8,,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.40215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628470-1629632-1641824-203897,1610612741,"Lonzo Ball, Torrey Craig, Coby White, Matas Buzelis, Zach LaVine","Ball, Craig, White, Buzelis, LaVine",1628366-1628470-1629632-1641824-203897,CHI,64.0,1,1.0,-3.0,2.0,2.0,,2.0,,4.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,90.0,11.0,21.0,11.0,21.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.4903,,0.5,0.5,,,4.4,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628470-1629659-1631207-202696,1610612741,"Lonzo Ball, Torrey Craig, Talen Horton-Tucker, Dalen Terry, Nikola Vučević","Ball, Craig, Horton-Tucker, Terry, Vučević",1628366-1628470-1629659-1631207-202696,CHI,197.0,1,3.0,8.0,7.0,7.0,,,1.0,14.0,,,,,,1.0,1.0,,,1.0,3.0,1.0,1.0,,,2.0,4.0,2.0,8.0,,,,1.0,1.0,3.0,,,,,,,6.0,3.0,1.0,,2.0,2.0,1.0,1.0,,,6.0,,,,4.0,1.0,5.0,,2.0,,2.0,1.0,1.0,2.0,,,4.0,4.0,,2.0,,5.0,,,,,1.0,0.5,1.0,,0.5,,,0.75,1.5,,0.6666666666666666,1.5,,1.0,0.5,,,,0.8,,,,,,102.33502538071066,10.428571428571429,17.714285714285715,10.142857142857142,17.714285714285715,,,,,,,,,,0.25,1.0,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,,,1.0,0.3333333333333333,0.5652,,0.3333333333333333,1.0,0.375,,,26.225,,,,,4.0,,,0.8,,0.6666666666666666,,,,0.56265,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628470-1630172-1630188-1630581,1610612741,"Lonzo Ball, Torrey Craig, Patrick Williams, Jalen Smith, Josh Giddey","Ball, Craig, Williams, Smith, Giddey",1628366-1628470-1630172-1630188-1630581,CHI,27.0,1,,2.0,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,106.66666666666666,12.0,15.0,12.0,15.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.4658,,,,,,7.9,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628470-1630172-1630188-1631207,1610612741,"Lonzo Ball, Torrey Craig, Patrick Williams, Jalen Smith, Dalen Terry","Ball, Craig, Williams, Smith, Terry",1628366-1628470-1630172-1630188-1631207,CHI,63.0,1,1.0,2.0,2.0,2.0,,,,4.0,,,,,,,,,,,1.0,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,,0.5,,,1.0,,,1.0,,1.0,,,1.0,,,91.42857142857143,15.5,16.0,15.5,16.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,0.5484,,0.5,1.0,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628470-1630172-1631207-202696,1610612741,"Lonzo Ball, Torrey Craig, Patrick Williams, Dalen Terry, Nikola Vučević","Ball, Craig, Williams, Terry, Vučević",1628366-1628470-1630172-1631207-202696,CHI,50.0,1,1.0,-2.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1.0,,0.5,1.0,,,,28.799999999999997,38.0,,24.0,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,0.5,,0.459375,,,,,,8.4,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628470-1630245-202696-203897,1610612741,"Lonzo Ball, Torrey Craig, Ayo Dosunmu, Nikola Vučević, Zach LaVine","Ball, Craig, Dosunmu, Vučević, LaVine",1628366-1628470-1630245-202696-203897,CHI,350.0,1,6.0,-11.0,11.0,11.0,,6.0,,22.0,3.0,4.0,,1.0,1.0,,,,,1.0,5.0,,,3.0,6.0,1.0,5.0,,9.0,20.0,,,,,,,,,,4.0,2.0,3.0,5.0,1.0,2.0,1.0,3.0,1.0,,2.0,,7.0,,2.0,,3.0,,3.0,,,,,,,,4.0,6.0,1.0,,,,,9.0,,,0.6666666666666666,0.6666666666666666,1.0,0.2,,,0.2,0.5,,0.4090909090909091,,,0.4090909090909091,,,0.45454545454545453,,,0.5,,0.5,,,0.6666666666666666,,,90.51428571428572,15.272727272727273,16.545454545454547,15.272727272727273,15.090909090909092,0.36363636363636365,0.75,1.0,0.6666666666666666,0.09090909090909091,,,,0.09090909090909091,,,,,0.45454545454545453,0.2,0.2,1.0,,,,,,0.8181818181818182,0.2,0.5831318181818183,,,,,,5.566666666666666,27.119999999999997,,,,,1.0,,,0.5,,,,,,,1.0,0.16666666666666666,,,,,,,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628470-1631207-202696-203897,1610612741,"Lonzo Ball, Torrey Craig, Dalen Terry, Nikola Vučević, Zach LaVine","Ball, Craig, Terry, Vučević, LaVine",1628366-1628470-1631207-202696-203897,CHI,48.0,1,1.0,-5.0,2.0,2.0,,1.0,1.0,4.0,,2.0,,,3.0,,,,,,,,,,5.0,,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,120.0,15.5,8.5,8.5,8.5,0.4,,,,,,,,0.6,,,,,,,,,,,,,,0.4,,0.48726,,,,,,11.440000000000001,,,,,,,,,,,,,,,0.5207,1.0,0.2,,,,,,,,,,0.5,,2.0,3.0,0.6,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
1628366-1628975-1629659-1630188-1630581,1610612741,"Lonzo Ball, Jevon Carter, Talen Horton-Tucker, Jalen Smith, Josh Giddey","Ball, Carter, Horton-Tucker, Smith, Giddey",1628366-1628975-1629659-1630188-1630581,CHI,11.0,1,,-2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2025,2024-25,False
