EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,LiveBallTurnoverPct,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,PenaltyArc3FGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefTwoPtRebounds,PenaltyTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2A,PenaltyFG3M,PtsUnassisted3s,OffThreePtRebounds,Charge Fouls,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimAccuracy,AtRimAssists,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,AtRimPctAssisted,SecondChanceAtRimFGA,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,Corner3FGM,SecondChanceFG2M,PtsPutbacks,Corner3Assists,FTDefRebounds,SelfOReb,LostBallSteals,LostBallTurnovers,StepOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,Travels,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,BlockedLongMidRange,LongMidRangeAssists,SecondChanceTurnovers,Blocked3s,BlockedCorner3,LongMidRangePctAssisted,HeaveAttempts,DefensiveGoaltends,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedArc3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1626179-1626196-1628389-1629130-1631107,1610612748,"Terry Rozier, Josh Richardson, Bam Adebayo, Duncan Robinson, Nikola Jović","Rozier, Richardson, Adebayo, Robinson, Jović",1626179-1626196-1628389-1629130-1631107,MIA,245.0,1,4.0,-3.0,8.0,7.0,1.0,15.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,7.0,10.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,0.5,0.5,0.25,0.4166666666666667,0.5,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,0.25,0.5,1.0,88.16326530612245,15.875,16.857142857142858,15.125,16.857142857142858,0.16666666666666666,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.5077666666666667,0.54975,0.14285714285714285,0.2,6.8,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1628389-1629130-1641796,1610612748,"Terry Rozier, Josh Richardson, Bam Adebayo, Duncan Robinson, Pelle Larsson","Rozier, Richardson, Adebayo, Robinson, Larsson",1626179-1626196-1628389-1629130-1641796,MIA,98.0,1,2.0,-1.0,3.0,3.0,,6.0,,,1.0,,,2.0,2.0,,1.0,2.0,2.0,,6.0,7.0,,,6.0,2.0,2.0,,,2.0,2.0,2.0,,6.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,6.0,,,1.0,1.0,1.0,,1.0,1.0,0.6666666666666666,,,1.0,,,1.0,1.0,,88.16326530612245,18.666666666666668,14.0,18.666666666666668,14.0,,0.3333333333333333,,,,,0.6666666666666666,1.0,1.0,1.0,,0.6666666666666666,1.0,0.5027333333333334,,,,7.7,25.4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1628389-1629312-1629639,1610612748,"Terry Rozier, Josh Richardson, Bam Adebayo, Haywood Highsmith, Tyler Herro","Rozier, Richardson, Adebayo, Highsmith, Herro",1626179-1626196-1628389-1629312-1629639,MIA,167.0,3,3.0,-4.0,7.0,7.0,1.0,14.0,1.0,1.0,2.0,,,,2.0,2.0,3.0,,2.0,2.0,6.0,10.0,,,,2.0,,,,,,,,,1.0,1.0,2.0,1.0,3.0,,,1.0,2.0,3.0,1.0,,4.0,2.0,,4.0,,,,,,0.6666666666666666,0.4,0.5,0.4,,,1.0,1.0,1.0,1.0,1.0,,120.7185628742515,13.428571428571429,10.428571428571429,13.428571428571429,10.428571428571429,0.2,0.4,0.5,0.5,,,0.4,,,,,0.6,,0.46035000000000004,,,,6.566666666666666,30.45,1.0,1.0,,0.3333333333333333,6.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,0.5,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3688125,0.3333333333333333,0.6666666666666666,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1628389-1629312-1641796,1610612748,"Terry Rozier, Josh Richardson, Bam Adebayo, Haywood Highsmith, Pelle Larsson","Rozier, Richardson, Adebayo, Highsmith, Larsson",1626179-1626196-1628389-1629312-1641796,MIA,79.0,1,1.0,-1.0,3.0,2.0,,5.0,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,3.0,4.0,2.0,2.0,,,,,,,,0.5,,,,,1.0,1.0,,,1.0,91.13924050632912,17.0,14.0,17.0,14.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,2.0,3.0,,,,,,0.5,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1628389-1629639-1631170,1610612748,"Terry Rozier, Josh Richardson, Bam Adebayo, Tyler Herro, Jaime Jaquez Jr.","Rozier, Richardson, Adebayo, Herro, Jaquez Jr.",1626179-1626196-1628389-1629639-1631170,MIA,109.0,1,2.0,-4.0,3.0,3.0,,6.0,,,2.0,1.0,,,,,2.0,,1.0,,,4.0,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,0.5,0.5,,1.0,1.0,,,,79.26605504587155,21.666666666666668,14.666666666666666,21.666666666666668,14.666666666666666,,0.6666666666666666,,,,0.3333333333333333,,,,,,0.3333333333333333,,0.4790666666666667,,,,9.85,23.8,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1628389-1629639-1641796,1610612748,"Terry Rozier, Josh Richardson, Bam Adebayo, Tyler Herro, Pelle Larsson","Rozier, Richardson, Adebayo, Herro, Larsson",1626179-1626196-1628389-1629639-1641796,MIA,197.0,2,3.0,3.0,9.0,8.0,2.0,17.0,1.0,,1.0,,,2.0,5.0,1.0,3.0,2.0,5.0,2.0,10.0,7.0,1.0,,3.0,5.0,2.0,,,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,2.0,3.0,3.0,,1.0,1.0,2.0,,1.0,2.0,,10.0,,,0.5,0.4,0.4,0.3333333333333333,0.5,0.5555555555555556,0.625,,,,1.0,1.0,0.2,,1.0,124.26395939086295,12.0,11.125,9.666666666666666,11.125,0.125,0.125,,,,,0.625,0.4,0.4,0.5,,0.75,0.4,0.5458125,0.4676,,,7.366666666666667,25.18,,,1.0,,5.0,,,3.0,,,,1.0,3.0,2.0,8.0,2.0,,,,,1.0,,,,,8.0,5.0,,1.0,,0.75,,0.8,,,,,,,0.75,0.58345,,0.8,0.5555555555555556,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.125,1.0,1.0,0.5,0.25,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1629130-1629639-1631107,1610612748,"Terry Rozier, Josh Richardson, Duncan Robinson, Tyler Herro, Nikola Jović","Rozier, Richardson, Robinson, Herro, Jović",1626179-1626196-1629130-1629639-1631107,MIA,7.0,1,,2.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,205.71428571428572,6.0,,6.0,,1.0,,,,,,,,,,,1.0,,0.6145,,,,1.8,,,,,,1.0,,1.0,,,,1.0,1.0,,,2.0,2.0,,,,,,,,,,2.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,,0.6145,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1629130-1631170-1642276,1610612748,"Terry Rozier, Josh Richardson, Duncan Robinson, Jaime Jaquez Jr., Kel'el Ware","Rozier, Richardson, Robinson, Jaquez Jr., Ware",1626179-1626196-1629130-1631170-1642276,MIA,279.0,1,5.0,2.0,10.0,9.0,,19.0,4.0,1.0,2.0,,,2.0,2.0,3.0,7.0,2.0,2.0,1.0,13.0,11.0,,4.0,6.0,2.0,2.0,,2.0,2.0,4.0,2.0,1.0,10.0,,3.0,3.0,,3.0,1.0,1.0,,1.0,1.0,2.0,,3.0,1.0,1.0,13.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.7222222222222222,0.2222222222222222,,,,0.6,0.5,,,0.6666666666666666,98.06451612903226,14.2,15.222222222222221,14.2,14.555555555555555,0.4444444444444444,0.2222222222222222,0.5,0.5,1.0,,0.2222222222222222,1.0,1.0,1.0,,0.6666666666666666,1.0,0.46674444444444446,,0.1111111111111111,0.14285714285714285,5.942857142857143,26.65,,,1.0,,2.0,9.0,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,1.0,,,,,,,,0.5,,0.5,0.5,,0.3653,,,0.2,1.0,,1.0,,,,,,,,,,,0.1111111111111111,,,,0.5,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1629312-1629639-1642276,1610612748,"Terry Rozier, Josh Richardson, Haywood Highsmith, Tyler Herro, Kel'el Ware","Rozier, Richardson, Highsmith, Herro, Ware",1626179-1626196-1629312-1629639-1642276,MIA,92.0,1,2.0,-8.0,3.0,3.0,1.0,6.0,1.0,,,,,,1.0,,2.0,,1.0,,,8.0,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,0.3333333333333333,,,0.5,,,0.3333333333333333,,,93.91304347826086,18.333333333333332,12.333333333333334,18.0,12.0,0.3333333333333333,,,,,,0.3333333333333333,,,,,0.6666666666666666,,0.49605000000000005,0.623,,,10.75,27.1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1626179-1626196-1629639-1631107-1631170,1610612748,"Terry Rozier, Josh Richardson, Tyler Herro, Nikola Jović, Jaime Jaquez Jr.","Rozier, Richardson, Herro, Jović, Jaquez Jr.",1626179-1626196-1629639-1631107-1631170,MIA,100.0,1,2.0,-1.0,4.0,4.0,1.0,8.0,,,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,4.0,1.0,4.0,5.0,1.0,,3.0,2.0,1.0,,,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,,4.0,,,1.0,0.25,0.25,,0.3,0.4,0.8,,,,1.0,1.0,0.25,,,115.19999999999999,17.5,7.5,15.0,7.5,,0.2,,,,0.4,0.4,0.5,0.5,1.0,1.0,0.8,0.5,0.53286,,0.2,,10.1,26.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
